benchmark, base_IPC, cxi_IPC, base_amat, cxi_amat,
SSSP, 0, 0.06950176297997716, 0, 706.850129421342,
BFS, 0, 0.10028663512925183, 0, 797.4917334966508,
CC, 0, 0.20289133615661414, 0, 399.1082287781168,
TC, 0, 0.614,0,216,
MASST, 0, 0.2655644866331942, 0, 380.16916183792307,
TPCC, 0, 0.508059282350294, 0, 304.10354322341726,
FMI, 0, 0.7294616287101494, 0, 290.1304008606848,
POA,0.681978827275469,0.681978827275469,77.9983700888357,77.9983700888357,0.681978827275469
