benchmark, base_IPC, cxi_IPC, base_amat, cxi_amat
SSSP,0.055,0.119652768248302,924,371.141333878851
BFS,0.0983172186996575,0.17366246869758,1076.36396056633,394.408271543919
CC,0.138,0.212305316914512,597,382.730107246767
TC,0.3984,0.653,353,200
MASST,0.183888845125717,0.360564465407303,514.840999534547,270.173673963943
TPCC,0.414,0.568983829944705,398,251.229549078018
FMI,0.611265943768342,0.743842552081103,356.147369728585,282.528287802937
POA,0.681978827275469,0.681978827275469,77.9983700888357,77.9983700888357
