benchmark, base_IPC, cxi_IPC, base_amat, cxi_amat
SSSP,0.055,0.109782456565662,924,444.80804884195
BFS,0.0983172186996575,0.164,1076.36396056633,470.70416022307
CC,0.138,0.193570721799734,597,427.982164005093
TC,0.3984,0.443,353,312
MASST,0.183888845125717,0.27961841062094,514.840999534547,350.839556357627
TPCC,0.414,0.498793858558953,398,316.472162937856
FMI,0.611265943768342,0.675192457510628,356.147369728585,321.9740764131
POA,0.681978827275469,0.681978827275469,77.9983700888357,77.9983700888357
